State,County,FIPS,Total Population,Citizen Voting-Age Population,"Percent White, not Hispanic or Latino","Percent Black, not Hispanic or Latino",Percent Hispanic or Latino,Percent Foreign Born,Percent Female,Percent Age 29 and Under,Percent Age 65 and Older,Median Household Income,Percent Unemployed,Percent Less than High School Degree,Percent Less than Bachelor's Degree,Percent Rural
Texas,Jack,48237,8866,6535,78.41191067,4.376268892,15.880893300000002,5.54928942,43.1874577,38.73223551,15.67787052,50390,4.680468047,21.13022113,89.22194922,53.21760283
Florida,Walton,12131,61528,47490,84.44773111,4.950591601,5.888376023999999,5.759979196000001,49.34988948,33.16538812,18.78331816,46910,7.295473714,15.08397356,73.69126318,63.12519303
Virginia,Washington,51191,54562,0,95.48403651,1.268281954,1.414904146,1.611011327,50.50034823,32.00579158,20.30167516,43835,6.425856972999999,15.91383254,75.22308524,71.67614258
Florida,Escambia,12033,309574,0,65.21962439,21.53281606,5.389987531,4.747491714,50.29944375,41.36458488,15.77458055,46117,8.297930226,10.053723300000001,75.11698603,8.302225327999999
Texas,Wheeler,48483,5642,3785,68.39773129999999,2.658631691,26.46224743,9.517901453,49.20241049,39.18823112,17.79510812,51082,5.4240990170000005,19.67860906,85.87987355,100.0
Arizona,Yavapai,4025,218586,0,81.15936062,0.518331458,14.054879999999999,6.456955157,51.09247619,28.717301199999998,28.27262496,46638,8.525986057999999,9.83067218,74.45836226,33.19717769
Nebraska,Loup,31115,542,435,97.9704797,0.0,0.0,0.0,52.39852399,30.99630996,24.53874539,56750,0.33557047,2.7363184080000003,78.10945274,100.0
Michigan,Antrim,26009,23215,0,95.17984062,0.32306698300000003,1.955632134,2.015937971,50.27353005,29.45078613,25.41029507,48825,7.815784445,9.311740891,73.31405437,100.0
Minnesota,Wabasha,27157,21327,16385,94.92661884,0.150044544,2.874290805,1.3550897919999998,50.17114456,34.59464529,18.80714587,58865,3.382302699,6.811536417,78.76129718,64.54142831
Nevada,Elko,32007,52029,34740,67.35474447,1.06094678,24.06734706,8.60289454,47.94825962,44.92878971,9.229468181,74672,4.896851249,16.622189499999998,81.8809239,37.85079274
Wisconsin,Dodge,55027,88404,0,90.62938329,2.0858784669999997,4.485091172,1.884530112,47.7885616,34.64209764,16.3046921,54111,4.849356251000001,10.95649138,83.74535876,48.64182787
Minnesota,Lake of the Woods,27077,3901,0,93.97590361,0.10253781099999999,1.23045373,1.563701615,47.96206101,28.47987695,21.81491925,45732,3.888098625,10.30927835,83.02405498,100.0
West Virginia,Tucker,54093,6922,5690,97.68852933,0.1733603,0.650101127,0.59231436,50.24559376,29.73129153,22.59462583,43529,8.190184048999999,12.70239013,85.79414032,100.0
Virginia,Lexington City,51678,7036,6335,80.54292211,8.996588971,4.178510517,3.9368959639999996,43.44798181,67.36782263,14.19840819,34464,3.926589842,14.96249507,55.11251479999999,0.0
Florida,Gilchrist,12041,17033,0,87.2952504,5.988375506000001,5.336699348,2.906123408,47.39035989,38.30799037,19.56789761,40881,9.732219983,17.29402474,87.65464596,83.91876734
Tennessee,Claiborne,47025,31701,25350,95.49541024,1.050440049,1.113529542,1.164001136,51.20027759,35.673953499999996,18.39058705,33428,8.446716477,22.75920327,86.8130891,71.55496228
Connecticut,Middlesex,9007,164438,0,84.73892896,4.664980114,5.641031878,7.652732337000001,51.09889442,33.24170812,17.70393705,79837,5.257634813999999,6.153443752,59.07154127,24.54006615
Utah,Sevier,49041,20913,0,92.24405872,0.34428346,4.882130732,1.989193325,48.89303304,43.8770143,15.58360828,48872,5.340290885,10.55663682,83.49552355,64.71493126
Massachusetts,Hampshire,25015,161035,0,84.61079889,2.683267613,5.253516316,7.846120409,53.23066414,44.24317695,14.75517745,62608,7.146733412000001,5.741344796,55.27746446,27.44369939
Massachusetts,Plymouth,25023,506657,376920,82.66598507,8.689113147999999,3.555462571,8.617269672,51.34775598,36.29260032,16.24116513,77627,6.8902441229999996,7.532306704,64.98234168,10.30774733
Pennsylvania,Union,42119,45178,36095,84.33972287,6.412413121,5.693036434,3.222807561,44.86254372,38.15131259,16.0741954,51349,4.911793448,14.83180428,77.8580259,42.81487085
Minnesota,Dakota,27037,411402,293485,80.33432020000001,5.275132352,6.5745912760000005,8.922173446,50.85390931,39.39334276,12.14967356,77321,4.4222886710000004,5.344223953,59.27639607,4.930849676
Indiana,DeKalb,18033,42489,31535,95.25053543,0.22123373100000002,2.692461578,1.310927534,50.24123891,39.32311892,14.74263927,50398,6.221155621,10.27092028,82.63068544,42.2992208
New York,Franklin,36033,51007,0,81.98678613,5.552179112999999,3.2956260910000004,4.042582391,45.52120297,36.94786989999999,14.92932343,49782,8.549105115,14.641300699999999,81.59850263,62.67563325
Minnesota,Pennington,27113,14156,10790,91.21927098,1.511726476,3.383724216,1.7236507490000001,49.69624188,38.61966657,16.67137609,51156,3.316326531,8.482972136,82.61093911,36.23115578
Wisconsin,Douglas,55031,43705,34415,92.08557373,1.164626473,1.425466194,1.6130877469999998,50.08809061,36.23841666,16.27731381,48190,6.3720138010000005,6.427873657,77.22240313,38.7554066
Michigan,Missaukee,26113,15032,11415,94.73124002,0.532197978,2.5279403940000003,1.7895157,48.87573177,36.13624268,19.17908462,42077,8.788458707,12.29468831,86.59110556,100.0
Pennsylvania,Tioga,42117,42031,33390,96.31938331,0.523423188,1.244319669,1.17294378,50.41041136,36.06147843,19.585544,48449,6.79009206,10.91336811,79.51314309,90.10981158
Nebraska,Hall,31079,61105,38845,68.88961623,2.075116603,26.1287947,14.44235333,49.72588168,42.2665903,14.10850176,51355,5.294029177,16.80601365,81.02324154,14.62453291
Texas,Live Oak,48297,11976,8770,55.93687375,2.8557114230000002,37.9258517,7.7822311289999995,45.17368069,33.35838343,19.77287909,50741,3.420933394,20.84008331,88.9146031,100.0
Pennsylvania,Lawrence,42073,88528,70165,92.23748419,3.760392192,1.24593349,1.319356588,51.60514188,34.00167179,20.03095066,45764,6.526561866000001,10.49241703,79.6719335,40.31808403
Washington,Snohomish,53061,758649,0,71.99047254,2.5607362559999998,9.603782512999999,14.97715017,49.85428044,38.67229773,12.07949922,73528,6.191495946,8.213147987000001,69.4016797,10.819460699999999
Vermont,Essex,50009,6173,0,95.69091204,0.6965818890000001,1.263567147,3.6287056539999996,49.47351369,28.78665155,22.80900697,39467,7.121160985,15.73636754,84.13482181,100.0
Nebraska,Cedar,31027,8657,0,97.08906088,0.05775672900000001,1.686496477,0.334989026,49.22028416,36.07485272,21.20827076,54391,1.820518312,7.225433526000001,82.40394424,100.0
Virginia,Russell,51167,27973,0,96.80048618,0.990240589,1.1368104959999998,1.068887856,51.04922604,32.6993887,18.54645551,38370,6.634146341,21.76502436,86.88290594,88.18562481
Virginia,Craig,51045,5195,0,98.11357074,0.153994225,0.019249278,0.019249278,51.70356112,29.12415784,19.557266600000002,40500,5.5581947739999995,12.92689097,87.04781179,100.0
Montana,McCone,30055,1678,0,92.19308701,0.0,0.893921335,0.357568534,45.53039333,31.64481526,22.82479142,42330,0.943396226,6.92431562,83.57487923,100.0
Wisconsin,Outagamie,55087,181799,0,88.44328077,1.13421966,4.039076123,3.968118637,50.14439023,39.44796176,13.10623271,59806,3.6888524560000002,6.470675257999999,72.21464265,24.73867399
Tennessee,Madison,47113,98128,0,56.71266101,37.25745964,3.5922468610000005,2.54055927,52.59457036,40.71315017,15.00998696,44237,7.2821200070000005,11.46422758,74.46399504,25.82660183
New York,Kings,36047,2606852,0,35.82807923,30.93063971,19.4142974,37.23084395,52.62642452,42.083440100000004,12.18231798,50640,8.999272751,20.01750589,65.91853201,0.001477223
Wisconsin,Trempealeau,55121,29521,21595,91.14189899,0.42003997200000004,7.025507266,3.993767149,49.54439213,36.80092138,17.00823143,52438,3.255813953,10.57973167,80.74657161,89.61340922
Michigan,Monroe,26115,149945,0,91.85234586,2.316849511,3.367234653,2.098769549,50.6879189,36.44402948,15.70575878,56968,6.958383332,9.563959097,81.20007718,37.55599555
Wisconsin,Racine,55101,194873,0,73.05886398,10.76495974,12.45221247,5.064837099,50.53804273,38.058119899999994,14.72240895,56359,7.478893857999999,11.17010399,76.02759958,12.277900599999999
Nevada,Storey,32029,3941,0,86.55163664,0.40598832799999995,6.1913219989999995,3.12103527,52.11875159,20.52778483,28.69829992,65508,4.092339979,6.0304631639999995,76.87286292,92.64339152
Wyoming,Sublette,56035,10032,0,91.64673046,0.0,7.8149920260000005,2.053429027,46.94976077,36.39354067,13.33732057,76004,2.786970911,4.658830275,75.64506881,100.0
Wisconsin,Taylor,55119,20521,15445,96.54987574,0.37522537899999997,1.744554359,1.4619170609999999,48.84264899,35.10062862,18.0887871,47306,4.478597021000001,12.35852373,86.53778559,80.44371405
Ohio,Seneca,39147,55711,42660,90.49200337,2.313726194,4.817720018999999,1.312128664,49.99551256,39.12692287,16.16197878,48415,6.811089339,9.244310052000001,85.28847971,47.50903163
Texas,Bastrop,48021,78286,0,54.44268452,7.802161306,35.16337532,10.86528881,49.08285006,39.40168102,13.40852771,55808,8.586255259,19.42436335,81.63784628,63.85244907
Ohio,Shelby,39149,48949,0,93.3522646,2.9622668489999997,1.4750045969999999,1.677255919,49.58221823,39.50233917,14.61521175,56169,5.809810907,9.300021671,82.9107458,51.11183052
New York,Steuben,36101,98151,75210,93.88697008,1.477315565,1.5628979840000001,2.342309299,50.33163187,35.90284358,17.46390765,48823,7.576178766,10.39375613,77.6515207,60.37074452
West Virginia,Jackson,54035,29199,22750,97.34237474,0.071920271,0.321928833,0.9315387509999999,50.53597726,34.54227885,19.14791602,40949,5.4051760710000005,13.4329082,82.3189952,71.43884153
Maine,Cumberland,23005,288204,0,90.90782918,2.641878669,1.921555565,6.297622517000001,51.36535232,35.19416802,16.32524184,61902,4.5838693589999995,5.489845148,55.94408995,36.09846844
Nebraska,Adams,31001,31536,0,87.33828006,0.821283612,8.907280568,5.717275495,49.24213597,41.36542364,16.50494673,51201,5.380389347,9.08822371,77.43698306,22.48437699
Texas,San Saba,48411,5881,4240,65.97517429,3.247746982,29.19571501,11.52865159,47.69597007,37.01751403,21.83302159,40718,3.85403854,25.47938639,85.45062320000001,49.35573316
New York,Ulster,36111,180505,141090,80.2182765,5.241406055,9.629650148,7.606437495,50.34431179,34.5663555,17.37070995,60393,8.532966093999999,9.915901252000001,69.02918265,46.04012209
Texas,Dimmit,48127,10842,7290,13.50304372,0.13835085800000002,86.14646744,5.534034311,51.64176351,45.53587899,14.36081904,32204,12.83739302,33.35364925,89.48651531,39.47579032
Tennessee,Grundy,47061,13494,0,80.2949459,0.533570476,0.19267822699999998,0.689195198,50.45205276,35.13413369,20.453534899999998,28467,11.27819549,25.97992604,89.03328051,100.0
Indiana,Vigo,18167,108099,83605,86.02114728,5.83631671,2.505111056,3.4005864989999997,49.17251778,42.4379504,14.65415961,41221,8.129531174,12.31385363,76.82387299999999,23.7584378
Minnesota,Chippewa,27023,12126,8995,89.3369619,0.503051295,6.0201220520000005,4.065644071,50.47006432,35.98053769,19.92412997,54041,2.159264931,9.945536349,83.51882548,50.34161241
Massachusetts,Essex,25009,769362,549350,72.85283131,3.015095625,18.82637822,15.82947949,51.83827639,37.39747999,15.58811067,70886,7.008640005,10.713053500000001,61.95967439,4.24404468
West Virginia,Pocahontas,54075,8620,7070,95.69605568,1.160092807,0.8932714620000001,0.8816705340000001,48.36426914,29.40835267,22.33178654,36026,5.685358255,15.24100995,83.79495027,100.0
Minnesota,Clearwater,27029,8764,6555,85.32633501,0.330899133,1.7115472390000002,1.072569603,49.33820173,36.60429028,19.40894569,44203,7.312707747,13.53295417,85.36299766,100.0
Texas,Midland,48329,155817,101810,48.48058941,5.8883177060000005,42.26496467,11.12266312,49.99069421,46.73431012,10.11378733,71424,3.634474328,16.55196644,73.77188088,12.29177626
Massachusetts,Middlesex,25017,1567610,0,74.07314319,4.718775716000001,7.468821965,19.9563667,51.1887523,38.04696321,14.03627178,89019,5.355120783,7.360150906,46.9954307,3.0277063510000004
North Dakota,Eddy,38027,2370,0,90.16877637,0.0,1.8143459919999998,1.35021097,51.72995781,33.96624473,20.92827004,55489,2.113821138,10.927347900000001,77.84997047,100.0
West Virginia,Doddridge,54017,8363,0,95.73119694,1.171828291,0.31089322,0.801147913,46.39483439,33.73191438,17.134999399999998,39381,6.4917127070000005,21.66526493,85.18082422,100.0
Wisconsin,Winnebago,55139,169487,0,89.54846094,1.99661331,3.841002555,3.318838613,49.60439444,39.78712232,14.7380035,53501,4.420678145,7.8937140029999995,73.11314088,13.43102147
Arizona,Apache,4001,72346,0,18.57186299,0.48655074200000004,5.947806375,1.719514555,50.5985127,45.85464297,13.32209106,32460,15.80743337,21.75825183,88.94106329,74.06107553
Pennsylvania,Delaware,42045,562316,0,68.57478713,20.53756251,3.47278043,9.726915115,51.95388358,39.26333236,15.102006699999999,66576,7.539406583,7.597338167,63.21642611,0.46388147
New York,Montgomery,36057,49667,37765,83.34910504,1.340930598,12.56166066,3.3925946810000003,50.7359011,37.19371011,17.66363984,44455,8.356756303,15.51265952,84.03469322,40.93868854
Florida,Pinellas,12103,939548,0,75.25043957,10.03780541,8.849468042,11.46466173,52.02884791,29.97707408,22.97796387,47090,7.349105692,9.603124574,70.48908519,0.28400226100000003
Tennessee,Lake,47095,7643,6425,67.49967290000001,28.14339919,2.11958655,1.203715818,36.89650661,33.73021065,15.07261547,29893,12.23506744,26.94810906,90.8707124,100.0
Maryland,Prince George's,24033,897693,0,13.64664757,62.60870921,16.73935299,21.39428513,51.90427017,41.02605234,11.28492703,75925,7.970697894,14.18567116,68.54579058,1.966713766
Texas,Shelby,48419,25705,0,62.67652208,17.63470142,17.59579848,9.86967516,50.92783505,41.21766193,15.93075277,36312,9.602364833,24.64466541,84.70078692,79.43256837
Virginia,Pulaski,51155,34417,27780,91.09161170000002,5.288084377,1.525408955,1.348170962,50.17869076,31.41761339,20.73684516,49469,6.701652792999999,15.87220698,81.78361427,46.90295939
Wisconsin,Lincoln,55069,28171,22525,95.80774555,0.663803202,1.391501899,0.819992191,49.85623514,31.14905399,19.83600156,52221,4.893659577,9.699757868999999,84.03874092,54.04794211
Texas,Floyd,48153,6088,0,38.69908016,2.578843627,57.14520368,7.5229960579999995,51.36333771,41.26149803,18.36399474,43070,7.564575646000001,26.81621208,83.60948254,53.31988829999999
Tennessee,White,47185,26373,0,93.91423046,1.83900201,2.256095249,1.2436962040000001,51.16217343,35.23300345,19.82709589,35989,10.47566167,17.8396688,88.21442013,78.17421926
Texas,Gonzales,48177,20370,0,42.75895925,6.116838488,49.62199313,14.05498282,49.455081,42.02258223,16.07756505,46630,6.474283889,27.45082975,86.25537800000001,65.27995153
Florida,Osceola,12097,311962,0,35.52868619,9.359473269,50.24009334,19.16739859,50.79560972,41.85798270000001,12.58037838,45536,8.316231343,14.29267045,81.3234701,7.821054395
Indiana,Jasper,18073,33461,0,91.80239682,0.878634829,5.905382385,2.459579809,50.52150264,38.9289023,15.60025104,55485,6.3849418710000005,13.00117128,83.45796919,68.03871199
Texas,Cherokee,48073,51257,35025,61.48233412,13.66642605,22.10039604,8.964629221000001,49.14060519,40.79247713,16.38800554,40769,6.025974026,20.44145873,82.6415547,63.04848068
Michigan,Osceola,26133,23172,17635,95.04574486,0.932159503,1.670119109,0.910581737,49.54255136,36.14707405,18.84170551,39247,8.77703827,12.54455631,86.9614158,100.0
Florida,Dixie,12029,16084,12890,85.04103457,7.504352151,3.78015419,2.785376772,45.41780652,31.23601094,21.72966924,34634,5.3062000760000005,22.23608685,93.60286166,77.02472293
North Dakota,Grant,38037,2369,0,96.6230477,0.295483326,0.6331785560000001,1.181933305,50.35880118,27.90206838,27.10004221,45978,2.685109845,11.34361233,81.93832599,100.0
Ohio,Fulton,39051,42466,0,89.70941459,0.454481232,8.246597278,1.532991099,50.41915886,37.93152169,16.18471248,55860,6.214715197,9.556684772999999,82.97879797,56.15953909
Indiana,Hamilton,18057,303042,206530,84.83147551,3.5377934410000003,3.745355429,7.48576105,51.14406584,40.92832017,10.51372417,87782,3.510980895,4.03009245,43.71912347,5.635377628
Nevada,Lincoln,32017,5155,0,82.85160039,2.851600388,8.574199806000001,3.3171677980000003,45.27643065,38.35111542,18.56450048,49406,9.136295557,11.37199434,77.25601132,100.0
Washington,Thurston,53067,266311,199825,76.41854824,2.857936773,8.206946014,7.6722328410000005,51.03694553,37.86550311,15.2156689,62854,8.413468877,6.4256853629999995,66.69689794,20.988726100000004
Virginia,Fredericksburg City,51630,27853,20995,60.07252361,21.76426238,10.82468675,9.15161742,53.08943381,50.74498259,10.401034,53980,7.38572094,8.722097196,57.70330272,1.1652804079999999
Indiana,LaGrange,18087,38395,24985,94.45240266,0.223987498,3.8963406689999998,1.62260711,49.31892173,48.66779529,12.63185311,53947,4.0740961339999995,35.71558714,88.80386262,91.61549235
Nebraska,Nance,31125,3607,0,97.3939562,0.08317161099999999,2.439700582,0.776268367,50.62378708,33.7399501,20.51566399,42429,3.239511418,9.258532758,82.65986661,100.0
Michigan,Menominee,26109,23568,18900,93.56330618,0.275797692,1.625084861,0.908010862,49.43567549,31.0760353,21.62253904,41235,7.089918742999999,8.462338262000001,84.1439464,64.33476216
Maine,Knox,23013,39717,0,95.69202105,0.5942039929999999,1.2412820709999999,2.7821839510000004,50.64833698,29.84364378,22.14668782,52239,5.615782791,6.923748154,69.77446637,67.93084357
Indiana,Whitley,18183,33354,0,95.86556335,0.38975835,1.843856809,0.929423757,50.0509684,36.81717335,16.23493434,54837,4.705068327,9.855224141,81.711146,71.16424366
Arizona,Santa Cruz,4023,46547,27155,15.27488345,0.19979805399999997,83.21911187,32.64442392,52.12580832,43.30032011,15.89576127,38941,9.749896222,25.20672643,77.50677507,26.88317166
Texas,Gray,48179,23028,0,64.95136356,4.260031266,27.35799896,9.931387876,47.27288518,40.02084419,15.58971687,45264,5.291805262,19.66551702,86.4189497,19.38761926
Pennsylvania,Jefferson,42065,44575,35050,97.3931576,0.628154795,0.814357824,0.536174986,50.33987661,34.85137409,19.47504206,43913,5.21478236,10.91912114,85.1716813,61.46017699
Nebraska,Knox,31107,8551,6445,86.52789147,0.187112618,2.59618758,1.169453865,51.17530113,34.33516548,23.69313531,47692,3.0309936189999998,8.409321175,79.82100642,100.0
Virginia,Henry,51089,52209,0,70.44379322,22.14752246,5.211745101,2.844337183,51.93549005,32.33925185,21.70123925,34992,9.429073342,20.79926141,88.43840675,60.72094698
New York,Queens,36081,2310011,0,25.63412036,17.263381,28.00874108,47.53310699,51.5149495,37.68168204,13.67322493,59758,7.759862502000001,19.34470616,69.40421089,0.0
Maine,Washington,23029,31925,0,90.21456539,0.385277995,1.819890368,3.974941269,50.57478465,31.30775255,21.88566954,39469,8.642761157,12.01773458,79.90365349,92.37886535
Michigan,Marquette,26103,67418,54730,92.45602065,1.5618974159999999,1.395769676,1.793289626,49.50754991,39.78166068,16.56827553,46822,7.151374419,5.482244875,69.94959113,41.48963132
Virginia,Scott,51169,22378,0,96.91661453,0.674769863,1.269103584,0.98310841,49.68719278,31.37903298,21.34238985,38017,7.770938667999999,20.712209299999998,87.43943798,82.12451999999999
New Mexico,Catron,35003,3547,2990,78.60163518,0.845785171,19.28390189,2.509162673,47.56131942,19.56583028,34.33887793,38142,4.007123776,7.739726027000001,75.23972603,100.0
Virginia,Orange,51137,34873,0,79.36512488,12.24729734,4.209560405,4.828950764,50.93625441,34.88085338,19.63410088,66990,7.651360047000001,10.62642555,74.06321277,57.77903886
Pennsylvania,Indiana,42063,87491,0,93.95023488,2.276805614,1.264130025,1.707604211,49.79026414,40.94478289,17.0851859,45118,7.732957127000001,11.04639772,77.84664707,60.06975698
Vermont,Franklin,50011,48625,36880,94.31156812,0.41336760899999997,1.379948586,2.801028278,50.340359899999996,36.81233933,13.88791774,58884,5.044244483,10.29770765,76.54361417,71.71490806
Nebraska,Merrick,31121,7793,0,93.08353651,0.898242012,3.990760939,1.719491852,50.54536122,34.82612601,19.55601181,50464,5.310971349,7.519764662999999,84.04118404,58.89101338
Pennsylvania,Fayette,42051,134229,107355,92.25800684,3.978275931,1.031818757,0.90740451,50.65075356,33.15900439,19.35647289,40511,7.843473489,12.63591974,85.26630011,47.89760333
Texas,Kerr,48265,50505,38635,70.31185031,1.469161469,25.67270567,7.199287199,51.75131175,32.82051282,26.5993466,44261,8.198091217,13.44249705,73.79796484,41.102267
Texas,Lamar,48277,49626,0,75.26699714,12.17909967,7.232096079,4.493612219,51.66243501,38.59065812,18.22028775,40283,7.019433597999999,15.49636082,83.30748121,47.0829233
Texas,Wilson,48493,46444,33815,58.08715873,1.332787874,38.7541986,4.4849711480000005,49.81267763,38.21591594,14.55516321,68737,6.209076541,15.08626239,80.70361787,85.86141013
Nebraska,Hitchcock,31087,2866,0,98.74389393,0.13956734099999998,0.837404047,0.27913468199999997,49.96510816,31.57711096,23.83112352,41131,2.7896995710000003,8.22906641,85.27430221,100.0
Florida,Okeechobee,12093,39420,0,63.7645865,8.490613902,25.08878742,12.09030949,45.95129376,38.0339929,17.75240994,36415,11.22018711,28.14724199,89.27565243,36.54865487
Florida,Nassau,12089,77187,0,87.51214583,6.222550429,3.7856115669999997,3.257025147,50.58882973,33.11956677,19.89583738,59196,7.550701156000001,9.074445959,75.47335581,48.14632949
Nevada,Churchill,32001,24148,17665,74.50306444,2.298326984,12.94517144,6.128871956,49.12622163,38.65744575,17.47556733,45368,11.717309,10.60809984,83.41490273,34.7147968
New York,Suffolk,36103,1498130,1058860,69.18111245,7.169070775,18.17639324,15.40720765,50.78190811,37.37118942,15.24914393,90128,6.070942988,9.99297465,65.61520598,2.6011316840000003
Pennsylvania,Bradford,42015,61808,47850,96.13156873,0.551708517,1.433471395,1.341250324,50.58892053,34.82720683,19.33244887,51035,5.406076075,11.14652603,82.31827562,72.17431574
Pennsylvania,Montour,42093,18404,0,92.33318844,1.722451641,2.396218213,3.2384264289999996,51.98869811,33.79700065,19.99021952,55233,5.3383962469999995,10.15414547,71.50553726,53.7690918
Tennessee,Greene,47059,68502,54225,93.46734402,2.1211059530000003,2.6641557909999998,1.325508744,51.13427345,33.49099296,19.67679776,36711,7.980621297000001,18.11393128,85.3138007,65.1944618
Virginia,Dinwiddie,51053,28155,21820,62.31575209,32.13638785,3.0580713910000004,2.88048304,50.61978334,35.28680519,16.18185047,51579,9.342828938,18.87107379,83.07116484,71.20817114
Tennessee,Robertson,47147,67905,0,84.2750902,7.289595759,6.1335689570000005,3.521095648,50.77092998,38.94558574,13.44378175,56331,7.398178381,13.45816908,81.86815594,53.239895600000004
Michigan,Alpena,26007,28929,23150,96.12153894,0.50814062,1.296277092,1.161464275,50.71381659,31.68446887,21.62535864,39832,7.847052733,9.607565012,83.22458629,51.827826200000004
Minnesota,Douglas,27041,36862,0,96.31327654,0.542564158,1.443220661,1.123107807,50.11665129,34.37415224,21.64017145,56347,4.032502271,5.162101413,74.94380738,52.836790799999996
Virginia,New Kent,51127,20051,15620,79.86634083,12.12408359,2.613335993,2.762954466,49.05490998,33.18039001,14.732432300000001,75303,4.878967693,8.23071036,74.04160579,100.0
Tennessee,Sullivan,47163,156644,124405,93.82102091,1.8538852430000001,1.703863538,1.577462271,51.56022573,33.17650213,20.31485406,40983,7.73583594,14.29240779,78.63874253,25.56130159
New Mexico,De Baca,35011,1977,0,47.04097117,0.0,47.64795144,4.046535154,53.71775417,27.16236722,23.36874052,31197,6.586021505,14.11290323,90.45698925,100.0
Pennsylvania,Lebanon,42075,136950,0,84.01971522,1.7772909819999998,11.68820737,3.802117561,51.13983206,37.11938664,18.23074115,56191,6.497584541,13.96815572,80.14107955,26.55576186
Texas,Uvalde,48463,27055,0,27.554980600000004,0.06653114,70.44538902,12.25651451,51.13287747,44.99353169,16.048789499999998,39011,6.398944504,30.69963812,85.07237636,31.38420754
West Virginia,McDowell,54047,20273,0,88.70418784,9.327677206,1.3860800080000002,1.213436591,49.08005722,31.98342623,18.32486558,25206,12.69551087,35.09215517,94.84995675,85.99014155
Virginia,Westmoreland,51193,17528,13750,63.68096759,26.82565039,6.104518485,3.3146964860000003,50.70743953,31.80625285,23.00890005,51566,6.599801882,15.01238774,78.80922886,78.8415263
Texas,Armstrong,48011,1913,1460,83.69053842,0.7318348140000001,12.70256142,2.143230528,49.1374804,32.25300575,21.90277052,65000,1.604278075,10.2281089,76.89477557,100.0
Tennessee,Cheatham,47021,39575,0,93.60454833,1.3872394190000001,2.640555907,1.877447884,50.57991156,37.14466203,13.36955148,53179,6.550519218,14.38941705,80.5807355,82.96125815
Michigan,Van Buren,26159,75216,0,81.77515422,3.224048075,11.01095512,4.771591151,50.32838758,37.39363965,15.98861944,47141,7.647543077999999,13.51446926,79.67034046,70.85945081
Texas,Franklin,48159,10571,7460,79.84107464,4.256929335,13.66947309,6.95298458,49.21010311,36.06092139,19.48727651,42652,6.527632951,14.46679526,81.01405346,69.12776992
Wisconsin,Pierce,55093,40881,31870,94.9389692,0.501455444,1.856608204,1.494581835,50.27518896,42.88789413,12.5975392,64364,2.772008647,5.314614211,72.18333268,53.64830932
West Virginia,Taylor,54091,16949,13450,96.30066671,0.9558086020000001,0.967608708,0.7493067440000001,49.24774323,33.48280135,18.06596259,44371,9.082580814,14.0982805,81.47665227,59.70405445
New York,Chemung,36015,87742,67625,86.61758337,5.632422329,2.939299309,2.797975884,50.44334526,37.09170067,16.79013471,49578,5.567271194,9.786515179,75.55607082,24.17876843
