Year,State,County,Office,Party,Votes
2018,MA,Nantucket County,US Senator,Democratic,5324.0
2018,MA,Nantucket County,US Senator,Republican,2702.0
2018,MA,Norfolk County,US Senator,Democratic,359706.0
2018,MA,Norfolk County,US Senator,Republican,234404.0
2018,MA,Plymouth County,US Senator,Democratic,215190.0
2018,MA,Plymouth County,US Senator,Republican,219990.0
2018,MA,Suffolk County,US Senator,Democratic,393246.0
2018,MA,Suffolk County,US Senator,Republican,93004.0
2018,MI,Alcona County,US Senator,Democratic,1915.0
2018,MI,Alcona County,US Senator,Republican,3541.0
2018,MI,Alger County,US Senator,Democratic,1911.0
2018,MI,Alger County,US Senator,Republican,2162.0
2018,MI,Alpena County,US Senator,Democratic,5412.0
2018,MI,Alpena County,US Senator,Republican,7380.0
2018,MI,Antrim County,US Senator,Democratic,4953.0
2018,MI,Antrim County,US Senator,Republican,7629.0
2018,MI,Baraga County,US Senator,Democratic,1344.0
2018,MI,Baraga County,US Senator,Republican,1825.0
2018,MI,Bay County,US Senator,Democratic,22502.0
2018,MI,Bay County,US Senator,Republican,22752.0
2018,MI,Branch County,US Senator,Democratic,5144.0
2018,MI,Branch County,US Senator,Republican,9666.0
2018,MI,Calhoun County,US Senator,Democratic,22739.0
2018,MI,Calhoun County,US Senator,Republican,25950.0
2018,MI,Cass County,US Senator,Democratic,7079.0
2018,MI,Cass County,US Senator,Republican,11811.0
2018,MI,Cheboygan County,US Senator,Democratic,4825.0
2018,MI,Cheboygan County,US Senator,Republican,7384.0
2018,MI,Chippewa County,US Senator,Democratic,5901.0
2018,MI,Chippewa County,US Senator,Republican,7767.0
2018,MI,Clinton County,US Senator,Democratic,17564.0
2018,MI,Clinton County,US Senator,Republican,18946.0
2018,MI,Crawford County,US Senator,Democratic,2306.0
2018,MI,Crawford County,US Senator,Republican,3751.0
2018,MI,Delta County,US Senator,Democratic,6932.0
2018,MI,Delta County,US Senator,Republican,9197.0
2018,MI,Eaton County,US Senator,Democratic,26147.0
2018,MI,Eaton County,US Senator,Republican,23771.0
2018,MI,Emmet County,US Senator,Democratic,7620.0
2018,MI,Emmet County,US Senator,Republican,9875.0
2018,MI,Genesee County,US Senator,Democratic,95903.0
2018,MI,Genesee County,US Senator,Republican,68648.0
2018,MI,Gladwin County,US Senator,Democratic,4160.0
2018,MI,Gladwin County,US Senator,Republican,6604.0
2018,MI,Gogebic County,US Senator,Democratic,3311.0
2018,MI,Gogebic County,US Senator,Republican,3078.0
2018,MI,Grand Traverse County,US Senator,Democratic,22757.0
2018,MI,Grand Traverse County,US Senator,Republican,24903.0
2018,MI,Hillsdale County,US Senator,Democratic,5079.0
2018,MI,Hillsdale County,US Senator,Republican,11310.0
2018,MI,Houghton County,US Senator,Democratic,6533.0
2018,MI,Houghton County,US Senator,Republican,7503.0
2018,MI,Huron County,US Senator,Democratic,5087.0
2018,MI,Huron County,US Senator,Republican,8312.0
2018,MI,Iosco County,US Senator,Democratic,4752.0
2018,MI,Iosco County,US Senator,Republican,6694.0
2018,MI,Jackson County,US Senator,Democratic,25858.0
2018,MI,Jackson County,US Senator,Republican,33490.0
2018,MI,Keweenaw County,US Senator,Democratic,598.0
2018,MI,Keweenaw County,US Senator,Republican,704.0
2018,MI,Lake County,US Senator,Democratic,1936.0
2018,MI,Lake County,US Senator,Republican,2633.0
2018,MI,Lapeer County,US Senator,Democratic,14396.0
2018,MI,Lapeer County,US Senator,Republican,24206.0
2018,MI,Leelanau County,US Senator,Democratic,7216.0
2018,MI,Leelanau County,US Senator,Republican,6775.0
2018,MI,Livingston County,US Senator,Democratic,37450.0
2018,MI,Livingston County,US Senator,Republican,58020.0
2018,MI,Luce County,US Senator,Democratic,811.0
2018,MI,Luce County,US Senator,Republican,1524.0
2018,MI,Mackinac County,US Senator,Democratic,2325.0
2018,MI,Mackinac County,US Senator,Republican,3298.0
2018,MI,Macomb County,US Senator,Democratic,179975.0
2018,MI,Macomb County,US Senator,Republican,173369.0
2018,MI,Manistee County,US Senator,Democratic,5242.0
2018,MI,Manistee County,US Senator,Republican,6183.0
2018,MI,Marquette County,US Senator,Democratic,16977.0
2018,MI,Marquette County,US Senator,Republican,12348.0
2018,MI,Mason County,US Senator,Democratic,5708.0
2018,MI,Mason County,US Senator,Republican,7625.0
2018,MI,Menominee County,US Senator,Democratic,3653.0
2018,MI,Menominee County,US Senator,Republican,4982.0
2018,MI,Missaukee County,US Senator,Democratic,1783.0
2018,MI,Missaukee County,US Senator,Republican,4650.0
2018,MI,Monroe County,US Senator,Democratic,26651.0
2018,MI,Monroe County,US Senator,Republican,33607.0
2018,MI,Montcalm County,US Senator,Democratic,8758.0
2018,MI,Montcalm County,US Senator,Republican,13878.0
2018,MI,Montmorency County,US Senator,Democratic,1537.0
2018,MI,Montmorency County,US Senator,Republican,2978.0
2018,MI,Muskegon County,US Senator,Democratic,35957.0
2018,MI,Muskegon County,US Senator,Republican,30831.0
2018,MI,Newaygo County,US Senator,Democratic,6858.0
2018,MI,Newaygo County,US Senator,Republican,12870.0
2018,MI,Oakland County,US Senator,Democratic,338986.0
2018,MI,Oakland County,US Senator,Republican,256017.0
2018,MI,Oceana County,US Senator,Democratic,4213.0
2018,MI,Oceana County,US Senator,Republican,6263.0
2018,MI,Ogemaw County,US Senator,Democratic,3280.0
2018,MI,Ogemaw County,US Senator,Republican,5592.0
2018,MI,Ontonagon County,US Senator,Democratic,1313.0
2018,MI,Ontonagon County,US Senator,Republican,1752.0
2018,MI,Osceola County,US Senator,Democratic,2934.0
2018,MI,Osceola County,US Senator,Republican,6186.0
2018,MI,Oscoda County,US Senator,Democratic,1221.0
2018,MI,Oscoda County,US Senator,Republican,2410.0
2018,MI,Otsego County,US Senator,Democratic,3969.0
2018,MI,Otsego County,US Senator,Republican,7092.0
2018,MI,Ottawa County,US Senator,Democratic,45696.0
2018,MI,Ottawa County,US Senator,Republican,80318.0
2018,MI,Presque Isle County,US Senator,Democratic,2760.0
2018,MI,Presque Isle County,US Senator,Republican,3788.0
2018,MI,Roscommon County,US Senator,Democratic,4643.0
2018,MI,Roscommon County,US Senator,Republican,6864.0
2018,MI,Saginaw County,US Senator,Democratic,41472.0
2018,MI,Saginaw County,US Senator,Republican,37809.0
2018,MI,Sanilac County,US Senator,Democratic,5418.0
2018,MI,Sanilac County,US Senator,Republican,10657.0
2018,MI,Schoolcraft County,US Senator,Democratic,1547.0
2018,MI,Schoolcraft County,US Senator,Republican,2099.0
2018,MI,St. Clair County,US Senator,Democratic,27540.0
2018,MI,St. Clair County,US Senator,Republican,38329.0
2018,MI,St. Joseph County,US Senator,Democratic,7278.0
2018,MI,St. Joseph County,US Senator,Republican,12489.0
2018,MI,Washtenaw County,US Senator,Democratic,123305.0
2018,MI,Washtenaw County,US Senator,Republican,47380.0
2018,MI,Wayne County,US Senator,Democratic,455176.0
2018,MI,Wayne County,US Senator,Republican,190884.0
2018,MI,Wexford County,US Senator,Democratic,4832.0
2018,MI,Wexford County,US Senator,Republican,8745.0
2018,MN,Aitkin County,US Senator,Democratic,4118.0
2018,MN,Aitkin County,US Senator,Republican,3808.0
2018,MN,Anoka County,US Senator,Democratic,87756.0
2018,MN,Anoka County,US Senator,Republican,65707.0
2018,MN,Becker County,US Senator,Democratic,6699.0
2018,MN,Becker County,US Senator,Republican,7520.0
2018,MN,Beltrami County,US Senator,Democratic,9711.0
2018,MN,Beltrami County,US Senator,Republican,7562.0
2018,MN,Benton County,US Senator,Democratic,7131.0
2018,MN,Benton County,US Senator,Republican,8290.0
2018,MN,Big Stone County,US Senator,Democratic,1368.0
2018,MN,Big Stone County,US Senator,Republican,1127.0
2018,MN,Blue Earth County,US Senator,Democratic,16776.0
2018,MN,Blue Earth County,US Senator,Republican,9984.0
2018,MN,Brown County,US Senator,Democratic,5614.0
2018,MN,Brown County,US Senator,Republican,5816.0
2018,MN,Carver County,US Senator,Democratic,27168.0
2018,MN,Carver County,US Senator,Republican,22540.0
2018,MN,Cass County,US Senator,Democratic,6243.0
2018,MN,Cass County,US Senator,Republican,7332.0
2018,MN,Chippewa County,US Senator,Democratic,2925.0
2018,MN,Chippewa County,US Senator,Republican,2422.0
2018,MN,Chisago County,US Senator,Democratic,12138.0
2018,MN,Chisago County,US Senator,Republican,12663.0
2018,MN,Clay County,US Senator,Democratic,14950.0
2018,MN,Clay County,US Senator,Republican,8480.0
2018,MN,Clearwater County,US Senator,Democratic,1302.0
2018,MN,Clearwater County,US Senator,Republican,2080.0
2018,MN,Cottonwood County,US Senator,Democratic,2413.0
2018,MN,Cottonwood County,US Senator,Republican,2488.0
2018,MN,Crow Wing County,US Senator,Democratic,14206.0
2018,MN,Crow Wing County,US Senator,Republican,16132.0
2018,MN,Dakota County,US Senator,Democratic,127016.0
2018,MN,Dakota County,US Senator,Republican,73462.0
2018,MN,Douglas County,US Senator,Democratic,8504.0
2018,MN,Douglas County,US Senator,Republican,9113.0
2018,MN,Faribault County,US Senator,Democratic,3031.0
